mchi1,mchipm1,Final_CLs,exclusion
191.41915,471.077732,0.192,1
512.240939,853.967473,0.812,1
257.242516,628.866764,0.22,1
1415.17701,1499.61497,1.0,1
375.771322,379.76986,0.476,1
597.104572,900.933249,0.896,1
830.418692,830.834034,0.771,1
37.9072111,1279.54615,1.0,1
990.953611,1306.7887,1.0,1
90.5322473,824.745203,0.0731,1
438.312505,914.729336,0.445,1
694.063825,1850.1296,1.0,1
246.468769,251.148604,0.448,1
194.977519,196.233255,0.908,1
1282.54868,1798.64167,1.0,1
174.380998,177.314109,0.645,1
355.724323,355.836972,0.825,1
255.143572,465.689217,0.329,1
318.58951,814.22391,0.188,1
1332.56598,1767.25527,1.0,1
479.114909,480.827647,0.606,1
300.119443,794.024919,0.191,1
415.132265,1106.70488,0.507,1
597.25007,597.317514,0.734,1
314.37271,314.549726,0.0,0
512.270956,1697.85435,1.0,1
276.873358,516.403759,0.354,1
327.147911,327.324781,0.879,1
124.502656,124.699771,0.0398,0
781.072441,811.159502,1.0,1
194.881614,197.087052,0.89,1
1590.25489,1596.1359,1.0,1
703.080957,703.689408,0.957,1
325.75629,327.590778,1.0,1
880.837589,1692.62342,1.0,1
367.695076,367.846724,0.0,0
198.705207,199.576414,0.881,1
1013.40657,1822.81004,1.0,1
456.351184,456.475554,0.912,1
321.136886,1110.22601,0.517,1
586.887812,588.498453,0.842,1
106.92236,109.520386,0.24,1
142.060808,142.251801,0.0,0
276.394091,276.586222,0.169,1
158.485133,160.995143,0.873,1
242.440166,242.624523,0.0,0
228.80709,229.013689,0.0432,0
1036.83826,1037.85861,1.0,1
170.101039,170.171739,0.0106,0
275.533921,278.418747,0.715,1
774.473553,913.849417,1.0,1
386.563166,386.74453,0.343,1
1624.94448,1831.37483,1.0,1
575.08302,1422.56116,1.0,1
671.245955,954.99074,0.938,1
20.4011358,1709.87056,1.0,1
315.378571,315.623064,0.176,1
346.009175,346.170025,0.0,0
459.027144,1155.49735,0.615,1
1402.42865,1418.64027,1.0,1
123.475955,127.237747,0.231,1
425.70072,658.995222,0.503,1
759.724888,762.301479,0.892,1
538.374531,576.911738,0.888,1
294.532429,297.304291,0.0899,1
