mhiggs,mchi1,mchipm1,Final_CLs,exclusion
129.066368,191.41915,471.077732,0.192,1
128.783872,512.240939,853.967473,0.812,1
128.846977,257.242516,628.866764,0.22,1
121.124233,1415.17701,1499.61497,1.0,1
124.824005,375.771322,379.76986,0.476,1
125.342386,597.104572,900.933249,0.896,1
122.781421,830.418692,830.834034,0.771,1
125.917235,37.9072111,1279.54615,1.0,1
126.650917,990.953611,1306.7887,1.0,1
125.184907,90.5322473,824.745203,0.0731,1
128.811679,438.312505,914.729336,0.445,1
126.603602,694.063825,1850.1296,1.0,1
120.616204,246.468769,251.148604,0.448,1
121.711577,194.977519,196.233255,0.908,1
121.891169,1282.54868,1798.64167,1.0,1
127.574325,174.380998,177.314109,0.645,1
124.68306,355.724323,355.836972,0.825,1
129.95157,255.143572,465.689217,0.329,1
122.288484,318.58951,814.22391,0.188,1
123.184414,1332.56598,1767.25527,1.0,1
125.185316,479.114909,480.827647,0.606,1
128.009026,300.119443,794.024919,0.191,1
128.231573,415.132265,1106.70488,0.507,1
128.611549,597.25007,597.317514,0.734,1
122.488849,314.37271,314.549726,0.0,0
123.248144,512.270956,1697.85435,1.0,1
123.581793,276.873358,516.403759,0.354,1
127.055501,327.147911,327.324781,0.879,1
124.651461,124.502656,124.699771,0.0398,0
128.198582,781.072441,811.159502,1.0,1
122.900713,194.881614,197.087052,0.89,1
124.813128,1590.25489,1596.1359,1.0,1
123.871588,703.080957,703.689408,0.957,1
122.475244,325.75629,327.590778,1.0,1
120.259474,880.837589,1692.62342,1.0,1
121.351785,367.695076,367.846724,0.0,0
122.72293,198.705207,199.576414,0.881,1
121.51797,1013.40657,1822.81004,1.0,1
122.48587,456.351184,456.475554,0.912,1
121.03508,321.136886,1110.22601,0.517,1
128.216586,586.887812,588.498453,0.842,1
122.603022,106.92236,109.520386,0.24,1
127.743577,142.060808,142.251801,0.0,0
124.34127,276.394091,276.586222,0.169,1
121.382005,158.485133,160.995143,0.873,1
122.595359,242.440166,242.624523,0.0,0
121.214538,228.80709,229.013689,0.0432,0
126.115355,1036.83826,1037.85861,1.0,1
124.27711,170.101039,170.171739,0.0106,0
126.859368,275.533921,278.418747,0.715,1
121.576853,774.473553,913.849417,1.0,1
122.101411,386.563166,386.74453,0.343,1
122.80713,1624.94448,1831.37483,1.0,1
127.486601,575.08302,1422.56116,1.0,1
121.0562,671.245955,954.99074,0.938,1
120.521628,20.4011358,1709.87056,1.0,1
122.20526,315.378571,315.623064,0.176,1
123.945955,346.009175,346.170025,0.0,0
128.345959,459.027144,1155.49735,0.615,1
123.203974,1402.42865,1418.64027,1.0,1
123.607958,123.475955,127.237747,0.231,1
128.718786,425.70072,658.995222,0.503,1
123.059336,759.724888,762.301479,0.892,1
125.26124,538.374531,576.911738,0.888,1
123.314798,294.532429,297.304291,0.0899,1
120.077236,351.2132,351.380991,0.0,0
121.412189,1612.58615,1825.65845,1.0,1
120.086363,122.287877,126.69108,0.0889,1
126.758753,227.597917,227.790144,0.0,0
120.619634,71.6281333,740.654057,0.000141,0
127.139249,97.1893314,414.646131,0.020101411,0
126.069731,120.067916,1739.80964,1.0,1
127.730987,397.928099,1304.60148,1.0,1
127.133974,1074.61913,1077.71699,1.0,1
124.034068,815.795018,822.673412,1.0,1
123.338142,614.11249,616.004987,0.824,1
121.692136,970.536295,973.115927,1.0,1
122.410969,802.308487,951.581598,0.999,1
127.400286,72.2733149,993.019633,0.0514,1
126.005174,98.8242893,99.0036897,0.0,0
127.205756,1349.77009,1372.15659,1.0,1
121.264713,495.658437,495.769479,0.861,1
123.634014,681.169263,681.461923,0.939,1
121.21837,184.028995,184.218921,0.0,0
125.509327,407.61502,407.770806,0.0,0
124.743091,131.41548,131.605562,0.0,0
124.496678,145.993528,153.646085,0.0555,1
129.761591,85.860391,234.065619,2.59e-10,0
120.319864,203.680474,204.508529,1.0,1
121.837892,62.8727434,1149.77578,0.548,1
124.92958,39.1739028,317.687513,0.022448901,0
126.868501,141.792542,1531.44097,1.0,1
127.638013,862.243373,863.424149,0.914,1
129.790841,173.324451,175.95597,0.389,1
126.902446,1061.93136,1453.11773,1.0,1
123.476306,737.392602,981.098814,0.977,1
123.192244,947.991439,950.180286,0.928,1
127.282317,580.265006,1309.92261,1.0,1
122.015448,611.412436,612.29994,0.911,1
120.360274,4.50640421,455.141155,0.22669457,1
124.107063,1438.30085,1690.41626,1.0,1
123.954716,93.8520008,94.0816439,0.0,0
122.423944,304.119055,306.858798,0.0239,0
121.669418,416.934535,417.087617,0.0,0
127.62627,235.324654,238.926003,0.308,1
123.224138,436.62157,438.767515,0.0977,1
122.966239,330.736033,331.345277,0.0,0
124.872398,874.457575,921.386234,0.875,1
120.490743,1124.95544,1126.04194,1.0,1
127.686157,265.923725,356.630042,0.634,1
121.903347,632.756206,806.248681,0.933,1
128.028146,448.388062,452.752547,0.592,1
124.024026,1602.86042,1604.0011,1.0,1
122.231142,998.602783,1034.40563,1.0,1
128.272788,199.413422,199.603884,0.0,0
121.251908,371.156929,371.316909,0.0,0
123.073923,411.336344,411.465661,0.0,0
126.278218,620.840676,746.89645,0.827,1
126.528408,326.388849,329.166475,0.605,1
123.685571,59.2009496,1067.77437,0.348,1
126.930354,163.566786,167.48753,0.041,0
120.943612,130.267216,537.582426,0.0202,0
121.158825,113.055387,113.800122,0.796,1
125.740932,233.176266,233.373814,0.0,0
122.213347,109.526329,109.713974,0.0,0
128.606725,250.260793,253.151154,0.886,1
121.663616,594.055259,594.107997,0.76,1
122.424075,362.904081,976.987184,0.0627,1
126.166693,203.779442,206.789727,0.903,1
121.841421,348.248284,352.280529,0.39,1
127.559808,68.1418716,354.965938,0.08023951,1
121.519773,154.733651,433.575901,0.0538274,1
126.631323,669.38548,1065.89662,0.833,1
120.892587,980.854986,982.061088,1.0,1
124.663326,290.538926,840.535205,0.18,1
123.113433,147.223864,984.381305,0.277,1
125.236375,559.999321,561.923473,0.445,1
121.907695,35.2954558,1280.82112,1.0,1
123.500643,604.364573,604.423846,0.682,1
127.238915,175.527157,835.834038,0.114,1
127.522765,626.407313,629.758267,0.766,1
127.503736,1090.56879,1128.16664,1.0,1
127.707673,104.800999,104.984058,0.0,0
127.874853,564.615476,564.67807,1.0,1
123.709337,1166.51254,1176.95127,1.0,1
128.615145,417.77098,420.307958,0.784,1
121.803361,599.467409,599.508651,0.855,1
126.767894,115.345431,399.553924,0.0662,1
120.313968,1048.72592,1413.62539,1.0,1
128.80862,213.267637,292.146844,0.511,1
125.913019,69.128999,1857.9572,1.0,1
123.219565,242.946667,257.663131,0.759,1
124.767786,180.280287,1019.81947,0.45,1
121.774859,597.046794,598.17497,1.0,1
125.755729,346.752078,348.29417,0.463,1
127.176189,111.789003,119.108268,0.00819,0
126.793157,423.041834,423.192682,0.0,0
124.116276,112.773487,935.384665,0.35,1
129.102883,44.5581339,196.888834,2.1439573e-05,0
122.164728,723.809977,724.418464,1.0,1
123.289273,180.430078,183.668673,0.044538412,0
126.858099,471.978002,472.11637,0.0,0
121.974077,175.483152,175.678371,0.0,0
126.318166,248.926202,251.430629,0.962,1
126.350477,223.683664,224.345179,0.903,1
126.63029,224.522495,227.158825,0.826,1
125.862894,527.766669,535.447125,0.445,1
128.322869,1018.99302,1019.51961,1.0,1
120.584353,225.129707,1484.13301,1.0,1
122.378479,570.993951,572.401875,0.759,1
126.31245,337.127769,778.636205,0.339,1
126.38134,387.108625,391.407645,1.0,1
124.951491,145.58583,1009.16133,0.305,1
121.114485,113.003005,451.075427,0.49352548,1
120.235056,111.800879,114.027292,0.724,1
128.43552,98.8367487,103.442681,0.0223,0
125.63036,496.281311,496.475881,0.494,1
124.916849,598.816193,613.57488,0.453,1
125.187318,272.675071,272.89864,0.139,1
128.087217,289.128575,1516.62153,1.0,1
129.930311,737.108318,821.639446,0.866,1
127.328967,1095.08003,1096.03864,0.936,1
127.109101,576.972356,577.04415,0.925,1
124.24171,202.99554,748.393037,0.0726,1
126.374516,609.870545,611.023399,0.781,1
128.283555,151.543869,316.976619,0.000241,0
127.647179,737.369973,1093.21698,0.808,1
129.298644,516.26255,519.638308,0.765,1
128.567945,411.598804,898.599456,0.13,1
121.925721,1517.41649,1517.95429,1.0,1
126.914937,103.416495,109.91503,0.00061,0
125.019069,328.789919,882.633426,0.368,1
120.315639,826.786228,1516.87745,1.0,1
124.527154,244.218835,244.40458,0.0,0
128.359034,156.295607,177.325463,0.0,0
127.89005,48.5985017,336.712357,0.025369758,0
121.994989,303.955804,758.899158,0.0613,1
124.625205,574.471525,575.039848,1.0,1
127.655697,1109.78451,1140.36725,1.0,1
120.222862,29.0511526,227.901457,0.00012859162,0
120.518862,373.651502,374.637427,0.927,1
125.48265,348.779575,350.228612,0.0873,1
124.151014,857.854359,1188.93283,0.981,1
121.879993,804.268067,805.061019,0.76,1
121.529299,476.601384,525.98816,0.818,1
127.497464,266.538624,270.244492,0.166,1
121.966453,41.9500396,130.648429,0.000117,0
124.863379,1194.38293,1196.33883,1.0,1
125.397788,786.84482,1304.71017,1.0,1
123.676237,539.797803,540.615049,1.0,1
127.591121,149.120077,152.621243,0.39,1
121.970055,266.343092,268.943509,0.918,1
124.778931,452.117541,452.287883,0.682,1
127.532367,423.613379,925.618732,0.386,1
120.490152,382.861243,383.016716,0.0,0
128.274764,299.603873,299.775104,0.0,0
121.604853,82.017375,982.845691,0.37,1
125.65083,695.962025,698.164235,0.791,1
126.219663,562.735367,663.240798,0.907,1
123.034448,466.177415,468.051013,0.404,1
127.184865,235.333528,243.778453,0.174,1
123.354663,890.520565,899.228339,0.865,1
122.414792,553.495096,814.853991,0.592,1
122.227314,938.510207,1827.75045,1.0,1
125.14967,1091.90417,1092.5139,1.0,1
122.129527,533.203968,1297.64789,1.0,1
121.648201,708.11265,875.068229,0.96,1
126.546172,398.687046,399.707688,1.0,1
127.734665,1449.60565,1451.03657,1.0,1
120.941388,293.398784,297.561821,0.695,1
123.702587,643.575894,1096.45988,0.717,1
129.147163,251.4331,256.162757,0.915,1
126.363289,249.325257,251.488899,1.0,1
127.62032,118.934907,119.121429,0.0,0
127.120592,1753.50319,1754.42348,1.0,1
120.568681,714.74442,715.37824,0.947,1
128.253302,67.6817034,366.489907,0.17137142,1
126.295474,272.966709,273.152459,0.54,1
127.706205,183.025439,363.595473,0.248,1
127.644498,489.451383,938.338134,0.568,1
122.922519,382.015427,1430.44492,1.0,1
124.808167,435.993087,436.612993,0.873,1
120.80685,348.208472,350.575261,0.864,1
126.792726,931.736737,1810.89201,1.0,1
125.376882,109.280219,110.830727,0.000277,0
125.468251,472.124192,473.186904,0.723,1
127.794076,893.924684,894.460461,1.0,1
120.742653,363.789208,984.469695,0.294,1
128.267523,815.988592,819.710308,1.0,1
126.358394,554.194238,1694.98862,1.0,1
127.964213,928.326635,1427.94898,1.0,1
120.999271,1101.10452,1101.62471,0.941,1
122.975055,322.559649,324.793856,0.725,1
128.779807,127.830261,137.039868,0.0295,0
129.101993,252.572424,255.127922,0.617,1
122.834349,494.699645,496.099366,0.549,1
123.079671,462.566088,462.687665,0.686,1
122.328064,185.847565,379.755925,0.411,1
126.06456,465.138554,468.730123,0.828,1
121.633786,572.609909,713.612575,0.913,1
126.860852,305.278569,308.618356,0.52,1
126.464651,1538.0945,1538.18171,1.0,1
123.247347,191.960556,194.315572,0.055242732,1
122.021559,532.42722,1102.83199,0.582,1
129.165253,93.4117845,93.5898797,0.0,0
128.255,301.851922,307.99472,0.473,1
123.000474,148.257478,327.065772,0.295,1
122.211656,434.899434,438.057473,0.746,1
124.684384,183.089582,183.138305,0.0329,0
120.686205,394.948523,690.769093,0.642,1
122.674957,192.958576,632.261286,0.052,1
123.909887,376.539409,376.828729,0.413,1
121.137761,1130.2216,1130.46546,1.0,1
120.899961,528.961483,533.95587,0.478,1
128.187571,149.114422,150.827728,0.284,1
126.447119,1144.21774,1181.76942,1.0,1
120.448902,367.884228,370.056493,1.0,1
122.755218,1021.53255,1458.13572,1.0,1
128.740212,992.14851,996.546529,0.905,1
121.399527,1623.98212,1624.60351,1.0,1
121.211603,826.561294,826.996146,0.808,1
125.593373,734.311061,735.055009,1.0,1
124.48785,867.765506,1135.05771,0.998,1
124.34749,132.176207,866.486485,0.0728,1
120.930799,468.006405,468.13128,0.0,0
126.168861,1018.61093,1177.75088,1.0,1
126.089598,102.792155,102.974247,0.0,0
123.775407,319.649764,319.819375,0.0,0
123.415902,183.899267,187.673138,0.009624715,0
125.033391,299.104278,787.495162,0.219,1
121.359224,151.315758,152.501204,0.714,1
126.412248,98.0972309,103.67387,0.0187,0
128.083684,392.413663,437.994516,0.815,1
121.515208,565.144901,822.312598,0.843,1
127.736926,255.410908,679.353253,0.23819923,1
126.464741,310.205727,310.382088,0.0,0
123.192616,225.450596,225.670091,0.0337,0
128.503255,483.531326,483.624931,0.922,1
127.351244,178.706785,178.943625,0.0213,0
121.83087,733.920465,736.175605,0.836,1
127.792044,622.913975,631.990037,1.0,1
124.276181,484.518447,486.756774,0.775,1
125.928932,1500.05863,1500.0699,1.0,1
123.489592,300.938257,459.631603,0.793,1
129.802909,153.658135,153.850922,0.0,0
121.204216,146.71007,1260.33028,1.0,1
122.351241,589.568836,592.479926,0.431,1
120.565312,407.701751,992.378059,0.417,1
126.285563,407.190805,408.898809,0.802,1
127.846069,347.93572,350.348612,0.391,1
121.831197,209.320477,1595.16972,1.0,1
128.015501,783.338616,786.14295,1.0,1
127.030133,331.040241,331.212513,0.0,0
127.408143,461.113614,461.23579,1.0,1
120.702959,135.131808,136.727702,0.772,1
123.036147,372.165661,374.743671,0.358,1
126.457381,537.904259,537.977448,1.0,1
123.966083,497.393183,500.537275,0.578,1
121.221316,1034.78723,1035.44306,1.0,1
125.213009,852.45315,853.909048,1.0,1
126.224619,847.798187,848.782932,1.0,1
120.991995,488.443409,488.54245,0.308,1
124.755436,1313.04447,1315.65747,1.0,1
122.369225,507.038885,507.255297,0.442,1
124.909237,727.012195,1574.73562,1.0,1
120.674212,146.104456,146.307501,0.0204,0
123.763977,469.37743,469.497422,0.0,0
120.33874,351.356641,1339.04371,1.0,1
122.773303,105.335836,110.119508,0.00459,0
123.649034,185.365741,193.991843,0.10980911,1
125.512009,190.005281,190.193259,0.0,0
127.453004,396.855168,399.04592,1.0,1
123.992636,883.467471,987.804682,0.937,1
125.324608,751.287736,799.395711,0.894,1
127.764202,145.042357,149.142733,0.256,1
122.456674,913.269417,1519.61384,1.0,1
126.924176,1290.57204,1290.61752,1.0,1
127.067693,556.773945,967.598284,0.387,1
120.864538,1195.20552,1206.89839,1.0,1
121.448207,267.634611,1409.057,1.0,1
124.888901,963.756177,1086.66415,0.999,1
123.529395,255.1213,255.302606,0.0,0
124.96673,445.769275,448.445473,0.844,1
127.195331,432.599562,436.782547,0.757,1
128.451766,456.375149,1373.96238,1.0,1
122.117876,1634.13328,1635.11077,1.0,1
121.783552,977.281847,1012.49056,1.0,1
126.060974,812.768731,954.038388,0.998,1
127.312246,564.224975,567.636663,0.858,1
124.644656,397.948656,427.819927,0.89099175,1
126.791051,454.896875,457.228027,0.898,1
127.278146,187.936845,192.96347,0.0613,1
123.089948,471.887837,472.003091,1.0,1
124.993087,360.760322,361.743625,1.0,1
126.093251,858.757897,1816.33031,1.0,1
121.682316,1210.42104,1729.90485,1.0,1
124.190772,424.085168,714.468352,0.652,1
122.105565,711.378004,713.548995,0.697,1
126.300442,323.985728,954.041457,0.0452,0
124.74562,246.180418,250.745368,0.169,1
121.654837,315.430317,317.784865,1.0,1
123.009882,550.938033,554.35151,0.846,1
126.119637,144.529113,144.720258,0.0,0
123.305352,594.653844,596.518071,0.659,1
127.558331,101.326238,108.262629,0.00558,0
127.583986,486.022876,947.499372,0.497,1
122.889505,1046.44038,1046.56019,1.0,1
126.360953,289.239331,1400.68287,1.0,1
124.263996,429.849728,430.152388,0.843,1
124.841004,844.530995,845.035756,1.0,1
128.860428,213.171641,213.566503,0.279,1
124.480885,434.2775,435.987235,0.335,1
128.335256,1641.6449,1729.83006,1.0,1
122.093996,524.935195,526.788471,0.942,1
123.708816,507.05472,1117.91119,0.473,1
127.455519,116.637527,116.822393,0.0,0
122.627644,551.885872,551.96252,1.0,1
128.458924,1.23355106,1162.58488,0.744,1
121.182718,492.230583,492.372963,0.0,0
123.541934,516.294453,516.736291,0.862,1
123.480656,852.387034,1311.18153,1.0,1
124.540894,32.7036054,1471.88698,1.0,1
121.31873,66.7190876,1291.83901,1.0,1
127.883179,793.253539,931.498988,0.997,1
122.516717,308.324368,312.00123,0.31543744,1
127.069282,260.435493,260.624331,0.726,1
125.006178,530.159871,532.879008,0.219,1
120.478977,249.944891,252.528263,0.158,1
128.526115,591.21675,592.223601,1.0,1
125.421813,933.466985,934.222838,1.0,1
122.906567,135.071488,141.032423,0.0191,0
120.818814,1221.71873,1760.13535,1.0,1
125.911196,120.498785,120.589487,0.00657,0
125.36304,476.58511,478.162946,0.562,1
123.448546,206.778402,207.223684,0.445,1
125.086892,126.827855,132.469593,0.0119,0
124.332124,121.341099,128.491557,0.35,1
121.858404,317.474455,317.647981,0.0,0
125.941247,793.152675,797.481955,1.0,1
123.667315,34.3749355,1592.68407,1.0,1
122.780512,308.61554,310.326979,0.427,1
122.213682,124.501329,124.718291,0.0,0
122.140012,269.160894,269.349219,0.685,1
129.603244,238.584512,242.749704,0.0865,1
123.031202,113.104887,115.32006,0.882,1
123.316103,1368.6321,1380.35781,1.0,1
126.938754,445.264074,445.393141,0.0,0
128.082816,49.3496264,856.513655,0.19,1
126.281897,184.913816,185.109243,0.0,0
127.727963,803.776823,998.701933,0.936,1
121.990247,765.309192,1141.50034,0.873,1
121.418411,677.058752,677.157594,0.899,1
126.556894,474.523943,474.640482,0.0,0
125.760426,480.408574,921.120056,0.493,1
124.40731,205.111628,206.423821,0.904,1
127.160063,361.704113,785.884355,0.351,1
125.157558,1220.63425,1252.03243,1.0,1
121.784305,1317.10328,1321.45806,1.0,1
121.300153,1063.64897,1065.33317,1.0,1
124.744819,579.888959,583.6022,0.878,1
121.423651,323.060674,757.553843,0.232,1
124.614807,1017.14399,1017.89806,1.0,1
122.457777,718.525766,721.850675,0.828,1
121.66252,1038.07826,1040.44432,1.0,1
124.740826,300.90977,302.065541,1.0,1
126.399631,808.272481,809.40531,0.97,1
128.551762,562.03755,562.094687,1.0,1
120.604923,295.735632,299.639135,0.255,1
121.980366,799.950082,804.839574,1.0,1
126.064815,227.613815,533.444534,0.566764,1
127.04411,823.903021,824.591238,0.81,1
120.983973,827.481102,828.587325,0.755,1
129.184995,208.138245,958.255088,0.29,1
121.42582,507.678352,507.776928,0.916,1
121.034974,306.670784,489.36095,0.677,1
127.469307,135.305985,904.89313,0.0952,1
121.40124,1457.44144,1538.8491,1.0,1
124.625115,622.869439,896.742267,0.949,1
126.936874,121.252417,410.294034,0.00284879,0
123.124468,1557.69503,1634.28243,1.0,1
127.381614,347.004933,1164.3003,0.621,1
126.560637,1263.11183,1449.72458,1.0,1
121.022472,405.039819,412.2797,0.954,1
124.495468,163.348862,936.655893,0.213,1
122.450273,1107.54614,1435.4834,1.0,1
127.3125,609.424257,689.334305,0.937,1
127.531172,340.386243,1764.58023,1.0,1
123.328783,97.4793697,949.261396,0.18,1
128.359536,1411.14707,1766.48695,1.0,1
123.836097,560.494867,567.251856,0.909,1
127.17383,234.671743,235.583158,0.42,1
120.333607,97.5253489,97.7051445,0.0,0
123.800738,573.844467,573.908526,0.798,1
124.485674,594.743829,633.07497,0.904,1
121.850299,479.811491,480.585558,1.0,1
123.145099,848.460508,855.341586,1.0,1
126.816989,302.646152,304.260637,0.0,0
122.055803,1156.36264,1210.80642,1.0,1
127.542015,602.819118,879.754797,0.909,1
125.592107,1047.51682,1049.06036,1.0,1
122.520844,479.839477,1159.2922,0.653,1
121.71811,794.251531,1730.9572,1.0,1
122.709463,239.341995,308.944285,0.40419477,1
129.007421,393.342455,393.486417,0.0,0
124.754794,268.560707,273.219834,0.15070812,1
125.367923,964.157286,967.86662,0.935,1
126.916096,701.361722,1226.78241,1.0,1
129.088326,103.692596,110.71383,0.000328,0
122.809569,197.718424,416.992691,0.095177144,1
128.792679,517.078375,517.176369,1.0,1
125.494966,665.033505,679.748096,1.0,1
126.651921,13.8858343,1525.98876,1.0,1
128.429468,858.448477,1234.70303,1.0,1
127.185598,538.815677,538.892407,0.806,1
129.883882,238.563479,253.20731,0.778,1
127.15779,278.845006,279.031011,0.423,1
125.42409,559.447863,1289.08481,1.0,1
125.306376,327.013308,368.034391,0.619,1
129.607189,176.48874,178.861248,0.020594493,0
126.878066,678.392988,679.208557,0.872,1
122.503863,23.1660662,172.588696,2.36e-10,0
124.832364,768.601768,768.703723,1.0,1
121.736871,167.175608,1650.28395,1.0,1
124.000174,1507.49516,1510.28291,1.0,1
125.94121,1211.3741,1223.84599,1.0,1
127.753781,1130.78693,1131.47638,1.0,1
127.579735,572.7536,577.415827,1.0,1
127.582851,602.874519,847.048821,0.908,1
122.32853,319.276778,319.920128,0.915,1
121.103077,310.812195,312.319327,0.2,1
126.148796,104.548542,105.920376,0.00416,0
120.257825,155.31769,155.50757,0.0,0
126.190983,386.19188,386.980429,0.854,1
127.253721,1089.43925,1445.42484,1.0,1
122.641474,574.956861,1556.75384,1.0,1
127.648424,588.144832,588.208263,0.868,1
122.180898,572.905905,977.884005,0.491,1
129.176314,145.567813,148.43338,0.655,1
120.459259,466.116184,466.811385,0.874,1
124.973613,553.328741,1040.92872,0.64,1
126.10981,305.934551,307.961252,0.933,1
124.529224,159.433715,552.989221,0.06282993,1
126.38898,895.312703,962.723602,1.0,1
127.967078,180.074055,183.843711,0.182,1
128.646435,408.522152,408.846016,0.814,1
121.835294,744.733734,745.793884,0.951,1
122.650308,124.496785,124.686972,0.0,0
125.52264,1579.53853,1649.55051,1.0,1
122.037897,719.290213,723.962795,0.859,1
121.366424,338.495504,1418.94878,1.0,1
126.159764,934.039121,1425.88478,1.0,1
124.640738,1117.92609,1127.49998,1.0,1
128.093336,570.637532,942.245434,0.675,1
128.231481,231.050755,238.446317,0.46629053,1
129.377293,28.4932133,786.574429,0.0854,1
128.42386,115.171911,115.356982,0.0,0
121.285204,922.942857,1148.91927,1.0,1
121.796911,186.960393,1744.34763,1.0,1
129.924534,672.465518,1108.05251,0.758,1
124.002147,61.6857429,1397.67561,1.0,1
120.558911,917.593894,918.727432,1.0,1
123.383851,308.735973,1370.45566,1.0,1
124.246214,437.043104,437.174019,0.948,1
123.257962,102.362485,103.24891,0.0,0
124.818714,1251.70138,1436.93685,1.0,1
127.929228,703.396478,785.066888,0.946,1
125.521534,869.569332,870.864281,0.943,1
128.45393,763.589711,871.318411,0.998,1
128.081028,829.106402,859.728679,1.0,1
123.535509,312.408741,313.276119,1.0,1
126.18097,152.415053,152.607589,0.0,0
122.624451,906.869752,907.584501,1.0,1
122.864556,278.450778,278.631906,0.0,0
127.835138,271.716336,273.852513,0.506,1
124.392035,123.114307,123.31942,0.0122,0
122.418994,1436.02841,1436.47475,1.0,1
123.618428,822.586264,822.66212,1.0,1
124.676564,99.8820947,108.555122,0.00248,0
125.681724,550.701338,550.753029,1.0,1
128.344009,700.596721,702.016987,0.927,1
125.763596,1586.02505,1606.09327,1.0,1
126.578312,248.314011,1362.21378,1.0,1
122.18274,227.434507,229.463719,0.749,1
125.591202,293.942612,591.054339,0.628,1
123.094484,437.440808,470.447199,0.5708131,1
127.958033,444.060912,444.259347,0.781,1
127.405511,238.065594,238.254227,0.0,0
128.92366,291.69818,291.881022,0.0,0
124.288047,638.664719,642.531833,1.0,1
129.266077,145.503933,319.752051,0.012445563,0
125.919297,78.8498456,832.58508,0.0045725964,0
121.913665,483.825539,486.98658,0.941,1
127.158316,164.648103,348.757423,0.434,1
124.179135,170.700772,173.008174,0.706,1
125.781007,822.886683,828.922415,0.944,1
123.862622,351.576479,351.736299,0.0,0
124.889635,473.803957,489.117339,0.879,1
122.170106,184.506583,188.15693,0.204,1
123.302592,315.779174,318.550608,0.806,1
127.991798,394.362876,397.484167,0.847,1
128.252028,113.034561,116.392035,0.00233,0
126.91518,197.527005,1816.57597,1.0,1
121.121125,510.627011,510.974867,0.892,1
124.408794,307.446306,307.632674,0.155,1
121.337231,174.116519,174.797133,0.918,1
127.618309,143.269305,209.645865,0.04716172,0
127.006891,271.472585,927.056518,0.221,1
126.712041,38.0058742,683.764624,0.028339561,0
123.417519,1206.48834,1258.61536,1.0,1
127.57407,402.73092,763.785418,0.623,1
125.257493,658.137941,659.366041,0.82,1
122.594971,623.738424,626.931078,0.892,1
127.058302,62.2286326,522.242191,0.021004295,0
124.49457,684.306698,685.678564,0.95,1
124.115453,469.115351,470.488695,0.7207397,1
124.512043,446.071298,446.479609,0.64,1
127.797686,266.438977,312.630536,0.253,1
126.105767,333.818399,1743.76339,1.0,1
122.589942,673.381062,870.966325,0.972,1
125.649485,497.856661,1449.03756,1.0,1
124.56844,207.55762,207.750334,0.0,0
123.753461,38.351525,184.449352,1.013406e-05,0
123.662181,993.963177,994.574114,0.916,1
123.139815,390.260514,1319.42158,1.0,1
120.916398,201.55458,696.91539,0.115424536,1
124.936627,192.422258,195.888167,0.7382239,1
122.976483,94.7297924,94.9126907,0.0362,0
127.950852,178.215249,363.296691,0.221,1
120.926086,392.871355,393.145819,0.314,1
121.869728,333.51406,333.703254,0.0839,1
120.712927,103.768578,106.166099,0.0647,1
121.573726,98.182109,1157.86738,0.273,1
128.022105,99.8416426,101.624288,0.632,1
126.838749,458.0842,461.187184,0.72496825,1
120.316909,985.679678,986.343381,1.0,1
128.093873,111.482954,111.6683,0.0,0
129.640734,257.209709,258.290767,0.546,1
122.4377,383.018308,383.166219,0.0,0
125.495345,113.505368,113.740369,0.00329,0
122.18759,608.743184,609.940929,0.574,1
120.872385,853.232464,1044.07961,0.948,1
124.077035,534.210892,536.860679,0.396,1
123.24539,785.772325,1254.85671,1.0,1
123.978572,125.690468,128.213613,0.654,1
127.429634,1111.33353,1115.86559,1.0,1
121.321661,87.0686891,1313.96295,1.0,1
122.447713,530.234264,530.318281,0.741,1
129.046491,497.93234,498.016636,0.858,1
122.902736,571.729542,1068.1501,0.409,1
122.350625,552.756958,553.142144,0.849,1
127.588922,406.085246,406.915421,0.948,1
125.348156,464.198194,465.223561,0.952,1
125.637729,448.969065,889.667336,0.487,1
122.746781,454.088212,455.486496,0.642,1
122.509539,104.481789,104.665394,0.0,0
120.995549,382.950422,383.100822,0.0,0
122.88272,934.724917,1466.11133,1.0,1
120.4706,208.773338,213.252841,0.711,1
127.050032,313.209453,316.571876,0.395,1
128.541824,429.027521,429.164082,0.889,1
128.411984,164.305557,167.838438,0.866,1
124.570617,440.058003,443.467339,0.636,1
125.607834,69.0811901,245.321487,0.0007057544,0
124.455042,863.086223,866.019329,0.94,1
121.042899,1075.01884,1265.34554,1.0,1
126.505607,349.722827,1392.31179,1.0,1
121.031699,111.422556,635.258343,0.23537636,1
127.791214,272.05018,641.813913,0.024141656,0
123.324785,313.288234,1175.24211,0.607,1
123.536615,491.466544,491.56918,0.937,1
122.540661,495.733434,503.916575,0.87,1
125.035145,646.868945,646.918057,0.839,1
124.114388,167.120914,167.320725,0.0239,0
127.77789,657.931474,1745.50205,1.0,1
122.420343,525.66266,525.761717,0.707,1
127.291665,727.714292,786.504857,0.936,1
